Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
"Esika, God of the Tree // The Prismatic Bridge",KHM,Kaldheim,168,normal,mythic,1,57157,f6cd7465-9dd0-473c-ac5e-dd9e2f22f5f6,16.37,false,false,near_mint,en,USD
"Halvar, God of Battle // Sword of the Realms",KHM,Kaldheim,299,normal,mythic,2,57173,feddb683-a8f8-4def-bd3e-6d630c42cd34,29.32,false,false,near_mint,en,USD
Valakut Exploration,ZNR,Zendikar Rising,175,normal,rare,1,54461,18cb7bf6-9c7c-4e62-a678-7b75862e2f64,6.0,false,false,near_mint,en,USD
Reiterate,TSR,Time Spiral Remastered,182,normal,rare,1,57761,99302c41-434f-41ff-a61a-2c3681a0c135,6.33,false,false,near_mint,en,USD
Valakut Exploration,ZNR,Zendikar Rising,303,normal,rare,1,54587,6954cc66-ab80-4457-b0da-61d80e80e25e,3.54,false,false,near_mint,en,USD
Valakut Exploration,ZNR,Zendikar Rising,175,foil,rare,2,54461,18cb7bf6-9c7c-4e62-a678-7b75862e2f64,5.81,false,false,near_mint,en,USD
Nether Traitor,TSR,Time Spiral Remastered,127,normal,rare,1,57746,8f3482ec-8466-4680-bfdc-e1029c0fbe89,9.99,false,false,near_mint,en,USD
"Moraug, Fury of Akoum",ZNR,Zendikar Rising,150,normal,mythic,1,54753,cc5eacd7-aaa7-4720-9794-52e7b098c82c,5.22,false,false,near_mint,en,USD
"Shatterskull Smashing // Shatterskull, the Hammer Pass",ZNR,Zendikar Rising,161,normal,mythic,1,54725,bc7239ea-f8aa-4a6f-87bd-c35359635673,8.45,false,false,near_mint,en,USD
Glasspool Mimic // Glasspool Shore,ZNR,Zendikar Rising,60,normal,rare,1,54561,5adcb500-8c77-4925-8e2c-1243502827d1,4.89,false,false,near_mint,en,USD
Krark's Thumb,MRD,Mirrodin,190,normal,rare,1,29855,78a5d49a-747e-4ec8-a20a-ca917c315774,13.29,false,false,near_mint,en,USD
Fyndhorn Elves,CMR,Commander Legends,678,foil,common,1,55954,ec8bf526-1260-40a1-b007-10ff9340f10b,10.99,false,false,near_mint,en,USD
Reshape the Earth,CMR,Commander Legends,249,normal,mythic,1,56157,ada14bc8-4549-4a73-8cbb-9a43698deb36,9.23,false,false,near_mint,en,USD
Valakut Awakening // Valakut Stoneforge,ZNR,Zendikar Rising,174,normal,rare,3,54479,228e551e-023a-4c9a-8f32-58dae6ffdf7f,12.25,false,false,near_mint,en,USD
